"","GO.ID","Term","Annotated","Significant","Expected","Rank in classic","classic","weight"
"68","GO:0032392","DNA geometric change",15,3,0.77,363,"0.03818","0.03818"
"69","GO:0032608","interferon-beta production",15,3,0.77,364,"0.03818","0.03818"
"70","GO:0051262","protein tetramerization",15,3,0.77,365,"0.03818","0.03818"
"71","GO:0002495","antigen processing and presentation of p...",26,4,1.34,374,"0.04104","0.04104"
"72","GO:0006906","vesicle fusion",26,4,1.34,375,"0.04104","0.04104"
"73","GO:0032088","negative regulation of NF-kappaB transcr...",16,3,0.82,385,"0.04528","0.04528"
"74","GO:0035265","organ growth",16,3,0.82,386,"0.04528","0.04528"
"75","GO:0043666","regulation of phosphoprotein phosphatase...",16,3,0.82,387,"0.04528","0.04528"
"76","GO:0050731","positive regulation of peptidyl-tyrosine...",16,3,0.82,388,"0.04528","0.04528"
"77","GO:0045185","maintenance of protein location",27,4,1.39,393,"0.04634","0.04634"
"78","GO:0030855","epithelial cell differentiation",54,8,2.78,171,"0.00531","0.04666"
