,10_40039_S11_R1_001.expression,10_90002_mor_det_45776883_R1.expression,1_10115_88_S4_R1_001.expression,11_10102_mor_det_45794778_R1.expression,11_40044_S12_R1_001.expression,12_20042_eve_det_45788807_R1.expression,12_40035_S13_R1_001.expression,13_10119_94_S14_R1_001.expression,13_90006_eve_det_45796767_R1.expression,14_10104_eve_det_45791770_R1.expression,14_40003_S15_R1_001.expression,15_40047_S16_R1_001.expression,15_Control_blood_9_45784879_R1.expression,16_10103_I1_R1.expression,16_Control_blood_11_45796768_R1.expression,1_70008_mor_imp_45790779_R2.expression,17_10108_I2_R1.expression,17_Control_blood_12_45792774_R1.expression,18_10136_I3_R1.expression,18_Control_blood_13_45786842_R1.expression,19_10141_I4_R1.expression,19_Control_blood_14_45759905_R1.expression,20_10155_I5_R1.expression,20_Control_blood_15_45793787_R1.expression,2_10131_83_S5_R1_001.expression,21_10181_I6_R1.expression,21_Control_blood_16_45775870_R1.expression,22_10100_D1_R1.expression,22_Control_blood_17_45792776_R1.expression,23_10116_D2_R1.expression,23_Control_blood_18_45794783_R1.expression,2_40058_mor_imp_45775868_R1.expression,24_10145_D3_R1.expression,24_Control_blood_19_45793789_R1.expression,25_10146_D4_R1.expression,26_10156_D5_R1.expression,27_30057_D6_R1.expression,3_10166_mor_imp_45795773_R1.expression,3_10189_45_S6_R1_001.expression,4_10177_eve_imp_45795771_R1.expression,4_90003_S7_R1_001.expression,5_10171_eve_imp_45788808_R1.expression,5_40026_S8_R1_001.expression,6_30065_S9_R1_001.expression,6_40049_eve_imp_45790782_R1.expression,7_30040_mor_det_45785850_R1.expression,8_60004_mor_det_45796771_R1.expression,9_30053_mor_det_45787820_R1.expression,9_30074_50_S10_R1_001.expression
hsa-miR-6084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ac,0,0,0,1,1,0,2,1,0,0,0,0,2,4,9,0,1,9,2,3,3,6,3,4,2,0,5,0,7,2,1,0,2,3,0,1,2,0,0,2,1,0,0,0,0,0,0,1,0
hsa-miR-3974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-597-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-597-3p,10,5,20,16,4,13,14,17,7,12,7,12,32,1,36,0,4,30,2,20,2,23,4,31,17,2,41,1,22,4,23,4,3,20,4,3,4,16,12,12,20,23,9,16,22,22,14,18,9
hsa-miR-6879-5p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6879-3p,13,6,5,9,6,3,7,5,9,6,4,3,2,0,2,0,3,4,0,3,0,5,1,7,9,1,6,0,5,0,5,3,1,6,1,3,1,6,9,4,0,7,7,9,11,9,5,7,5
hsa-miR-3667-5p,6,2,0,0,0,2,1,0,1,1,0,0,15,0,2,0,2,7,2,7,0,8,0,7,0,0,11,2,0,1,13,5,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0
hsa-miR-3667-3p,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
hsa-miR-323b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-323b-3p,11,5,23,35,3,4,15,55,3,33,12,14,62,1,29,0,1,36,6,145,4,42,12,124,14,1,137,8,61,1,50,13,1,22,2,0,10,9,12,10,4,10,16,35,28,7,2,35,12
hsa-miR-6780a-5p,54,16,39,27,38,32,82,25,42,18,24,18,37,8,30,0,18,23,16,20,4,26,6,18,33,2,38,7,40,11,26,17,10,15,9,11,6,46,41,47,35,73,32,51,34,31,52,44,50
hsa-miR-6780a-3p,0,0,0,3,0,0,0,0,4,1,1,2,2,0,0,0,0,5,0,5,0,4,0,4,0,0,9,0,5,1,10,0,0,2,0,0,1,2,0,1,0,0,1,1,2,1,2,1,2
hsa-miR-4306,288,71,89,258,48,152,164,172,198,209,101,102,698,167,380,0,258,634,156,668,110,797,141,521,269,163,655,73,719,241,503,122,245,436,152,131,168,212,183,273,190,495,164,175,221,173,191,260,105
hsa-miR-148a-5p,12,8,17,21,6,10,21,23,5,21,14,8,74,5,57,0,9,41,5,32,10,45,9,80,11,3,61,3,56,2,41,13,2,77,8,3,4,10,22,12,13,25,4,9,13,10,4,17,4
hsa-miR-148a-3p,4996,1014,4027,3815,3143,1235,3608,6759,1034,2333,3805,4963,17695,511,20487,0,513,13334,625,12381,276,14076,577,10005,5624,467,28025,351,16327,445,12346,2221,736,17445,701,610,432,2405,2835,2085,6917,4151,3151,2664,2322,2811,1340,3101,3415
hsa-miR-372-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-372-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4633-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-4633-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-155-5p,1302,504,974,1191,300,1099,1140,679,886,941,747,715,1961,319,2591,0,308,2490,171,2567,131,2707,327,3059,832,236,3436,168,2125,280,1833,748,307,1790,335,284,273,663,1043,1085,1091,1166,1054,732,1039,532,838,832,582
hsa-miR-155-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4754,8,6,15,11,6,10,6,12,5,18,6,5,13,4,11,0,9,11,3,8,2,13,3,8,17,3,13,1,23,0,19,11,7,8,4,5,7,8,11,16,2,14,6,8,9,12,6,8,12
hsa-miR-22-5p,51,12,28,54,9,32,29,36,43,40,29,35,100,14,87,0,16,126,16,74,20,60,22,139,28,20,100,14,63,22,99,29,25,88,20,26,30,28,25,47,23,37,29,23,31,42,24,44,27
hsa-miR-22-3p,19490,6022,7890,11784,2120,9160,8842,9044,18534,12509,7277,7186,63087,10270,44919,0,9837,41207,6184,65316,7498,60930,8262,48301,9083,6878,95859,4241,83125,13116,45042,10739,5149,35036,8247,4991,6724,6926,7266,9420,7382,11241,9617,5531,7787,7505,10809,6639,5990
hsa-miR-4685-5p,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
hsa-miR-4685-3p,1128,592,1288,820,312,439,649,641,562,701,526,424,736,248,434,0,318,528,253,610,223,395,358,784,543,306,723,135,615,222,719,535,152,306,188,305,195,872,678,889,265,1177,713,769,621,715,812,650,483
hsa-miR-548ad-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ad-5p,7,0,0,10,0,2,6,6,7,7,3,3,68,11,62,0,11,50,12,44,1,59,9,24,5,4,145,7,76,18,34,11,29,31,19,23,6,6,1,8,3,7,2,1,4,11,7,9,2
hsa-miR-140-5p,1,2,3,8,0,5,1,5,5,4,4,1,35,12,29,0,11,41,6,39,4,47,14,58,0,9,56,5,49,8,20,7,11,42,9,17,9,6,1,7,4,15,4,4,10,3,4,11,1
hsa-miR-140-3p,8416,4380,7824,11003,1674,7073,12441,9902,4569,6670,8272,5419,28124,9395,24370,0,10861,23495,4596,22267,4302,23202,6263,27734,8390,3811,33717,2948,39291,5609,28237,5506,6211,24424,6591,6764,5226,8233,11278,7140,9365,12982,7789,6468,9865,8509,6498,12312,8268
hsa-miR-3065-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3065-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6750-5p,23,19,24,48,5,25,37,25,53,26,26,15,49,5,47,0,19,34,10,45,11,51,5,45,13,8,57,6,84,7,38,22,8,35,7,7,13,46,18,35,19,56,27,21,35,19,47,21,20
hsa-miR-6750-3p,14,7,6,17,8,13,14,12,11,5,11,9,11,2,7,0,6,3,2,6,2,9,2,4,28,4,9,4,12,1,12,19,2,3,4,2,1,7,18,13,18,25,26,23,5,18,14,10,22
hsa-miR-4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-655-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-655-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1248,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4286,30,12,20,18,2,13,15,7,8,21,6,8,24,9,10,0,22,31,6,21,4,36,14,18,14,7,20,8,32,4,21,9,7,18,11,27,10,21,19,17,14,17,17,9,15,18,21,16,10
hsa-miR-548l,20,6,33,21,2,10,28,55,27,29,11,27,47,22,77,0,14,60,16,24,7,48,16,39,37,12,73,9,63,18,69,17,26,51,17,10,9,8,10,28,44,30,19,4,28,9,10,28,16
hsa-miR-4275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3928-3p,48,22,43,49,29,59,90,43,38,30,43,38,84,27,44,0,32,77,15,56,8,74,12,72,36,15,94,16,115,15,98,33,15,51,17,5,6,57,51,48,73,59,35,69,75,41,39,83,62
hsa-miR-3928-5p,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,3,3,1,1,1,1,0,3,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
hsa-miR-598-3p,29,54,14,51,7,27,24,38,30,40,26,22,162,20,156,0,20,141,14,120,10,175,29,145,32,10,178,19,195,20,124,23,27,150,24,37,19,41,33,33,35,58,40,25,36,41,54,50,43
hsa-miR-598-5p,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
hsa-miR-6807-5p,0,2,0,0,0,3,1,2,1,1,1,0,1,0,3,0,1,0,0,1,1,2,0,2,1,0,2,0,7,1,3,1,0,1,0,0,0,0,0,2,2,2,1,4,3,2,2,2,0
hsa-miR-6807-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-4671-5p,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4671-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3689d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-302b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-132-5p,68,25,53,48,39,38,70,49,30,44,42,43,179,23,171,0,19,124,21,75,29,96,41,165,23,31,139,4,105,14,120,29,17,82,22,7,16,52,32,58,36,53,34,30,40,29,46,50,39
hsa-miR-132-3p,58,11,37,27,16,15,30,24,27,39,16,26,109,36,70,0,38,77,33,50,33,70,38,115,30,45,123,10,109,28,72,20,24,66,17,11,20,24,18,39,17,49,24,10,24,19,17,35,23
hsa-miR-4258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4520-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-4535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-8069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4525,1,0,0,1,0,0,0,0,3,3,1,0,3,2,1,0,0,0,0,0,1,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,1,2,0,2,0,1,0,2,1,0,0,3,0
hsa-miR-620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3064-5p,84,37,47,75,23,69,94,63,47,45,68,51,72,30,98,0,37,86,14,60,17,73,30,96,88,22,100,12,103,15,74,48,19,66,29,19,21,100,80,85,76,187,68,95,53,108,91,71,80
hsa-miR-3064-3p,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1229-3p,127,64,56,105,27,113,110,57,102,72,79,31,87,36,37,0,30,57,20,55,17,69,29,64,132,19,110,11,89,15,98,131,34,21,14,31,20,93,73,203,52,193,110,129,109,103,367,132,77
hsa-miR-1229-5p,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
hsa-miR-3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-139-5p,143,62,153,584,94,118,172,123,123,90,315,194,674,82,185,0,67,634,81,277,114,564,84,1180,228,80,623,25,455,72,361,99,49,386,44,68,52,161,175,196,136,103,138,96,285,84,44,242,148
hsa-miR-139-3p,22,29,28,185,11,47,60,36,47,36,89,62,112,23,43,0,14,82,9,46,19,97,9,208,62,18,108,7,86,14,77,45,7,65,7,13,12,53,38,78,53,30,34,60,88,34,24,99,27
hsa-miR-4662a-5p,3,1,0,3,0,1,1,0,1,0,0,0,4,0,6,0,0,5,0,2,0,7,0,1,0,0,9,0,0,1,4,0,0,4,0,0,1,0,1,1,2,0,4,0,2,1,1,1,0
hsa-miR-4662a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3936,2,2,3,1,1,3,9,5,7,0,3,3,3,1,4,0,6,1,1,1,0,12,1,5,3,0,9,1,5,1,5,4,2,2,5,2,1,7,1,5,1,8,5,12,2,4,2,8,1
hsa-miR-874-3p,21,39,10,48,3,32,10,16,26,31,17,11,24,13,17,0,24,61,8,45,14,48,22,76,25,22,59,7,34,23,30,42,13,51,18,21,21,34,14,33,8,31,15,39,28,34,35,26,13
hsa-miR-874-5p,4,0,1,0,0,2,0,0,0,1,0,2,2,1,1,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,1,0,2,1,1,0,1,0,2,0,1,2,0,2
hsa-miR-489-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-489-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3127-5p,16,10,11,20,9,14,22,15,14,9,16,2,9,4,18,0,11,11,4,16,2,24,5,11,21,5,10,1,24,7,17,7,7,11,6,6,3,12,11,9,7,49,12,17,17,15,21,13,10
hsa-miR-3127-3p,71,69,66,147,53,104,120,98,90,81,101,63,90,32,122,0,51,61,27,73,23,100,30,82,137,24,91,13,129,28,116,38,26,80,18,30,12,100,100,169,135,215,100,100,106,118,131,123,107
hsa-miR-3160-5p,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3160-3p,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-6796-5p,1,2,2,1,2,5,5,3,5,3,3,0,6,0,0,0,2,0,1,1,0,6,0,4,0,1,3,0,1,1,0,1,0,0,1,0,0,1,1,3,3,6,0,1,3,0,0,2,0
hsa-miR-6796-3p,1,0,1,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0
hsa-miR-4528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
hsa-miR-191-5p,52771,15925,40539,53138,5593,34071,37163,33590,60933,55962,23068,21618,277799,23992,140163,0,29583,177052,24846,204994,16530,182925,27470,244251,37031,24195,268316,14552,238808,29148,224283,35606,26135,144514,23323,14669,30994,41935,27725,68588,34051,67939,37685,24528,54364,34132,37610,40943,20703
hsa-miR-191-3p,9,12,8,15,0,20,5,12,4,18,10,10,27,5,14,0,5,31,3,30,3,22,8,53,14,7,36,2,41,3,27,6,5,21,1,6,6,17,10,12,10,21,13,8,18,12,11,16,6
hsa-miR-320e,211,62,234,98,54,63,206,182,85,70,188,156,93,45,70,0,103,70,55,82,23,89,48,98,240,57,79,38,94,73,87,68,71,64,47,109,87,98,204,86,177,87,203,274,74,75,79,54,192
hsa-miR-6832-5p,7,1,0,3,3,1,0,0,1,0,1,2,4,1,2,0,0,2,0,1,1,2,0,0,1,1,1,0,1,2,2,0,0,2,1,0,0,0,1,5,0,6,1,2,1,3,2,2,5
hsa-miR-6832-3p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-6801-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-6801-3p,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-26a-2-3p,0,1,0,2,0,2,0,2,0,4,2,0,3,0,3,0,0,2,0,0,0,1,1,29,0,0,10,0,1,1,4,0,0,3,1,0,2,0,2,0,1,0,0,0,0,0,0,1,0
hsa-miR-626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4683,1,0,0,1,1,1,1,2,1,0,0,1,0,1,2,0,1,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,2,0,0
hsa-miR-6882-5p,4,2,5,9,0,2,6,8,6,7,6,4,23,2,18,0,1,17,0,31,1,16,2,34,4,2,36,2,29,3,28,6,3,30,0,1,3,6,5,3,9,9,3,0,5,8,3,5,7
hsa-miR-6882-3p,4,5,9,7,1,6,12,18,7,5,14,0,13,3,4,0,2,10,3,13,0,9,8,8,11,0,10,1,14,3,10,11,0,9,1,1,1,14,11,7,8,16,8,21,3,15,10,11,12
hsa-miR-491-5p,2,2,4,5,0,5,10,1,3,5,6,2,12,2,2,0,1,4,1,8,0,8,1,8,6,2,11,2,7,0,7,6,1,9,1,5,2,7,5,10,6,8,3,8,6,10,7,12,2
hsa-miR-491-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4634,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5580-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5580-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3120-3p,1,0,2,3,0,2,0,2,0,0,1,1,7,0,8,0,2,3,9,6,0,8,2,4,1,0,13,0,7,0,6,0,1,6,2,0,0,2,2,2,1,4,1,0,3,5,1,1,1
hsa-miR-3120-5p,3,5,5,14,3,10,16,15,6,3,16,13,10,2,6,0,2,7,2,7,3,6,2,5,7,3,7,1,6,0,6,4,5,5,3,3,2,8,7,7,10,4,7,8,6,4,8,8,5
hsa-miR-16-5p,2320,365,1311,2670,214,1316,1618,1162,2019,2211,815,680,15833,2092,16460,0,2345,13900,2018,10916,864,10943,1474,7854,2006,1126,24415,943,13751,2220,11884,1859,2604,9133,2831,2676,1746,1357,1424,2174,1760,2690,882,560,1652,1578,1418,2488,1035
hsa-miR-16-2-3p,9,12,7,27,0,5,5,10,21,7,5,2,13,11,3,0,10,7,9,6,7,7,9,391,5,24,17,11,8,14,10,4,17,35,7,8,27,35,8,14,5,16,2,7,14,19,6,9,5
hsa-miR-4680-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4680-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6716-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6716-3p,3,0,0,5,0,1,0,1,0,0,2,1,4,0,0,0,0,2,0,3,1,3,0,2,1,0,0,0,3,0,5,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,2,2
hsa-miR-3914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
